State,Avg_Daily_Distance_(km),Brand,Model,Price_INR,Year_of_Manufacture,Engine_Capacity_cc,Fuel_Type,Mileage_km_per_l,Owner_Type,Registration_Year,Insurance_Status,Seller_Type,Resale_Price_INR,City_Tier
karnataka,61.36,ktm,duke 200,107628,2018,863,petrol,26.93,third,2018,active,dealer,58731.82,tier 2
maharashtra,5.06,ktm,rc 390,214762,2017,800,electric,60.06,second,2017,expired,dealer,94257.69,tier 1
punjab,64.83,ktm,125 duke,252462,2022,831,electric,63.69,second,2023,expired,dealer,120979.39,tier 3
delhi,10.36,ktm,rc 390,146605,2016,234,hybrid,80.76,third,2020,active,individual,65046.8,metro
west bengal,25.65,honda,unicorn,261209,2017,351,hybrid,78.96,third,2024,not available,dealer,206077.5,tier 2
punjab,54.07,bajaj,dominar 400,129792,2024,461,hybrid,86.29,third,2024,expired,individual,86330.58,tier 3
madhya pradesh,14.49,ktm,125 duke,350415,2016,347,petrol,29.66,second,2019,expired,dealer,175059.07,tier 3
uttar pradesh,30.55,bajaj,platina 110,346617,2020,512,hybrid,64.61,second,2024,active,dealer,182974.76,tier 1
uttar pradesh,11.93,honda,dio,75193,2022,916,hybrid,91.26,third,2024,active,individual,31496.42,tier 3
uttar pradesh,63.18,ktm,250 duke,283170,2019,800,petrol,38.93,second,2023,not available,individual,223998.17,tier 1
maharashtra,39.06,honda,activa,292696,2023,974,petrol,34.96,second,2024,active,individual,163917.23,tier 1
tamil nadu,23.44,hero,hf deluxe,66642,2018,948,petrol,36.76,third,2024,active,dealer,41994.89,tier 3
rajasthan,65.39,honda,unicorn,204089,2019,151,hybrid,83.61,third,2019,not available,dealer,119049.62,tier 2
delhi,34.17,royal enfield,interceptor 650,136743,2015,336,electric,62.07,third,2021,active,dealer,76307.29,tier 1
madhya pradesh,68.88,tvs,sport,221970,2016,787,hybrid,91.28,third,2022,not available,dealer,160567.18,tier 3
punjab,38.23,yamaha,fz v3,188824,2024,520,petrol,40.88,third,2024,not available,individual,78415.97,tier 1
rajasthan,62.96,royal enfield,himalayan,308925,2023,581,electric,72.81,third,2023,active,individual,201265.66,metro
tamil nadu,43.03,hero,xtreme 160r,273961,2021,898,electric,86.08,second,2024,expired,individual,119914.87,tier 3
delhi,45.92,yamaha,mt-15,184987,2024,918,electric,99.01,second,2024,active,dealer,132384.44,tier 3
rajasthan,31.13,royal enfield,classic 350,222166,2017,569,hybrid,71.12,third,2024,expired,dealer,105100.78,tier 2
maharashtra,59.61,kawasaki,ninja 300,251783,2016,779,petrol,59.73,third,2021,not available,individual,193643.8,tier 3
delhi,42.58,honda,shine,240136,2020,158,electric,97.86,first,2020,active,dealer,129877.47,tier 3
gujarat,57.94,tvs,sport,77805,2021,159,hybrid,84.87,second,2024,expired,individual,61346.35,tier 1
tamil nadu,66.02,kawasaki,versys 650,381968,2024,375,hybrid,78.99,first,2024,not available,dealer,190784.52,tier 3
madhya pradesh,57.5,yamaha,ray zr,59308,2023,620,electric,97.66,second,2023,expired,dealer,37421.84,tier 3
punjab,61.13,royal enfield,meteor 350,272711,2019,506,electric,72.99,second,2021,not available,dealer,142595.33,tier 2
uttar pradesh,40.58,hero,hf deluxe,318644,2016,425,electric,97.88,second,2019,active,dealer,196742.42,tier 3
karnataka,16.65,tvs,jupiter,324453,2023,981,petrol,34.66,third,2024,active,dealer,147993.07,metro
madhya pradesh,12.78,kawasaki,ninja 300,104324,2022,592,hybrid,66.91,second,2023,active,individual,83356.36,tier 2
gujarat,56.14,bajaj,avenger 220,399909,2021,887,hybrid,75.54,first,2021,expired,dealer,243232.89,metro
maharashtra,32.39,tvs,jupiter,383264,2016,107,hybrid,93.84,third,2024,not available,dealer,292129.0,tier 2
uttar pradesh,68.98,royal enfield,himalayan,237181,2017,852,hybrid,67.54,first,2017,expired,individual,179293.88,tier 1
uttar pradesh,77.1,kawasaki,z650,137600,2016,118,hybrid,72.38,first,2016,not available,dealer,88613.71,tier 1
karnataka,74.18,hero,xtreme 160r,288733,2019,948,electric,66.38,third,2021,not available,dealer,226083.0,metro
punjab,43.52,bajaj,avenger 220,289151,2016,377,petrol,33.91,first,2016,active,individual,183017.83,tier 1
west bengal,35.88,honda,dio,350341,2023,920,electric,65.16,second,2024,expired,dealer,256441.28,tier 3
uttar pradesh,27.4,hero,splendor plus,362198,2023,774,electric,62.15,second,2024,active,individual,191120.67,tier 1
delhi,7.96,royal enfield,hunter 350,256735,2024,635,hybrid,76.06,third,2024,not available,individual,117112.08,tier 3
west bengal,11.34,hero,passion pro,247707,2021,405,hybrid,70.59,second,2022,expired,individual,189314.75,tier 3
tamil nadu,17.48,honda,shine,304510,2022,565,petrol,34.9,second,2024,not available,individual,149256.95,tier 3
punjab,29.35,kawasaki,vulcan s,220881,2019,906,electric,90.34,second,2022,active,individual,157260.46,tier 3
rajasthan,42.66,honda,unicorn,208900,2015,930,petrol,47.36,first,2015,not available,individual,94820.03,tier 1
rajasthan,79.77,ktm,125 duke,102653,2015,426,hybrid,60.41,second,2016,active,individual,50336.25,tier 2
delhi,28.99,honda,activa,242823,2020,770,electric,80.18,second,2020,not available,individual,114779.59,tier 1
delhi,34.19,ktm,250 duke,81961,2021,487,petrol,47.27,third,2021,active,individual,64138.67,metro
karnataka,79.41,yamaha,ray zr,82095,2019,745,hybrid,69.58,second,2022,not available,dealer,33337.11,tier 3
delhi,59.71,tvs,sport,366078,2023,483,petrol,36.71,first,2023,expired,dealer,245647.2,metro
rajasthan,9.82,tvs,apache rtr 160,247937,2023,792,electric,72.36,third,2024,active,dealer,108737.6,metro
madhya pradesh,18.83,tvs,sport,169319,2015,964,petrol,38.54,second,2021,expired,individual,76638.18,tier 1
rajasthan,28.55,bajaj,pulsar 150,84775,2024,183,electric,81.08,third,2024,expired,dealer,35655.38,tier 2
gujarat,14.42,honda,activa,353476,2017,142,electric,86.13,second,2017,expired,individual,264198.2,metro
maharashtra,12.84,honda,dio,270426,2018,898,petrol,56.19,third,2023,not available,dealer,203951.48,tier 2
karnataka,75.68,bajaj,platina 110,245424,2023,861,electric,72.56,first,2023,expired,dealer,146943.33,tier 3
rajasthan,23.25,bajaj,avenger 220,130318,2024,545,electric,73.37,second,2024,active,individual,102150.53,metro
karnataka,13.87,kawasaki,vulcan s,235465,2020,389,hybrid,62.25,second,2023,active,individual,178910.74,tier 1
punjab,55.98,royal enfield,classic 350,318060,2016,500,electric,93.08,third,2018,expired,individual,216490.35,metro
uttar pradesh,30.41,kawasaki,vulcan s,125574,2019,517,electric,62.77,second,2020,not available,individual,86141.89,metro
rajasthan,67.49,bajaj,platina 110,371836,2017,787,petrol,39.55,first,2017,expired,individual,189395.12,metro
rajasthan,26.2,yamaha,fascino 125,330327,2017,186,hybrid,89.97,first,2017,expired,dealer,143285.28,metro
tamil nadu,55.75,royal enfield,meteor 350,245113,2016,632,petrol,37.78,first,2016,expired,dealer,104806.13,tier 3
tamil nadu,78.43,royal enfield,hunter 350,208943,2020,884,petrol,29.19,third,2022,expired,dealer,86672.35,tier 3
tamil nadu,61.83,tvs,sport,288962,2017,371,petrol,45.51,first,2017,not available,individual,198724.7,tier 2
gujarat,76.17,ktm,duke 200,91888,2019,698,electric,96.02,second,2024,expired,individual,57268.66,tier 3
rajasthan,43.99,tvs,ntorq 125,231332,2017,758,electric,76.88,first,2017,active,dealer,125567.0,tier 1
maharashtra,34.61,royal enfield,meteor 350,293887,2024,736,electric,87.54,second,2024,active,individual,158620.43,tier 2
punjab,33.93,kawasaki,ninja 300,320346,2024,237,electric,92.91,first,2024,active,dealer,245489.45,tier 3
punjab,65.8,yamaha,mt-15,327642,2017,260,hybrid,94.1,first,2017,expired,individual,260816.48,tier 1
rajasthan,10.6,yamaha,mt-15,243559,2023,600,electric,87.46,first,2023,active,individual,113722.4,tier 2
west bengal,25.67,hero,hf deluxe,146741,2015,505,hybrid,83.15,third,2015,expired,dealer,113120.97,tier 2
punjab,27.68,kawasaki,z650,210266,2018,135,electric,75.65,third,2022,not available,individual,98108.94,tier 1
delhi,50.93,ktm,duke 200,193985,2018,486,hybrid,85.88,third,2020,active,individual,118504.09,tier 2
maharashtra,22.91,bajaj,avenger 220,101359,2021,445,hybrid,99.54,third,2022,active,individual,66949.76,tier 2
rajasthan,47.51,hero,splendor plus,291694,2016,315,petrol,43.66,third,2020,active,individual,124194.46,metro
west bengal,51.91,hero,hf deluxe,151719,2024,885,hybrid,65.48,first,2024,expired,individual,109110.57,metro
punjab,18.94,hero,hf deluxe,136542,2015,721,hybrid,97.09,second,2023,not available,dealer,60879.45,tier 3
punjab,77.3,bajaj,ct 100,274558,2016,566,electric,88.75,second,2018,not available,dealer,162596.57,tier 1
west bengal,25.84,bajaj,platina 110,84667,2020,273,petrol,27.51,third,2024,active,individual,48197.37,tier 1
delhi,27.6,bajaj,dominar 400,50477,2015,479,petrol,39.45,first,2015,active,individual,27044.39,tier 3
west bengal,72.42,kawasaki,ninja 300,304619,2020,472,petrol,54.74,second,2020,not available,individual,184937.19,tier 2
gujarat,19.47,tvs,ntorq 125,308433,2023,173,petrol,56.6,third,2024,active,dealer,213409.6,metro
madhya pradesh,26.03,kawasaki,ninja 400,105027,2020,148,petrol,58.22,first,2020,active,dealer,54992.41,tier 3
maharashtra,18.45,yamaha,ray zr,131826,2015,797,hybrid,94.3,second,2020,active,individual,92371.68,tier 3
rajasthan,19.14,honda,shine,106415,2015,605,petrol,30.83,second,2020,expired,individual,51414.69,tier 3
maharashtra,20.28,royal enfield,meteor 350,185607,2018,602,petrol,58.87,second,2024,active,dealer,146022.85,tier 2
delhi,63.72,yamaha,r15 v4,375951,2021,536,petrol,39.11,first,2021,expired,individual,285390.23,tier 2
tamil nadu,56.77,yamaha,mt-15,122080,2024,388,electric,85.68,third,2024,expired,dealer,75731.54,tier 1
uttar pradesh,24.96,hero,splendor plus,334161,2020,786,petrol,54.88,second,2020,active,dealer,135272.08,tier 3
uttar pradesh,38.6,honda,shine,231888,2022,536,hybrid,93.3,second,2022,not available,individual,157396.7,metro
maharashtra,73.76,hero,hf deluxe,355007,2021,440,petrol,29.98,third,2023,not available,individual,159479.26,metro
punjab,65.57,hero,xtreme 160r,207949,2019,655,petrol,32.7,first,2019,expired,individual,94995.11,tier 3
karnataka,62.27,hero,hf deluxe,319128,2017,191,hybrid,63.04,first,2017,not available,individual,216627.56,tier 3
west bengal,40.24,bajaj,ct 100,162424,2021,813,hybrid,70.07,second,2024,expired,individual,107159.87,tier 1
delhi,11.36,hero,xtreme 160r,313293,2022,422,hybrid,68.22,third,2024,active,individual,188885.75,tier 2
tamil nadu,73.67,ktm,125 duke,353603,2018,268,petrol,41.91,second,2021,active,individual,246800.18,tier 1
gujarat,39.19,bajaj,avenger 220,199407,2017,303,electric,83.45,first,2017,not available,dealer,103418.87,tier 3
rajasthan,43.5,hero,splendor plus,91738,2019,915,electric,72.24,third,2023,active,dealer,66192.32,tier 1
gujarat,24.27,yamaha,mt-15,119176,2019,947,electric,83.48,third,2023,expired,individual,56289.11,metro
gujarat,26.05,tvs,apache rtr 160,377176,2017,209,hybrid,73.01,first,2017,not available,dealer,274342.46,tier 2
tamil nadu,36.74,honda,unicorn,169648,2016,687,electric,69.33,third,2019,active,dealer,69534.84,tier 1
punjab,38.96,royal enfield,interceptor 650,293704,2016,923,petrol,25.85,first,2016,expired,dealer,194099.0,tier 1
west bengal,22.56,kawasaki,versys 650,163600,2016,899,electric,84.42,first,2016,active,individual,108306.34,metro
west bengal,62.77,kawasaki,versys 650,316476,2015,988,electric,90.15,first,2015,not available,individual,189574.09,tier 2
punjab,12.52,bajaj,avenger 220,101317,2018,337,electric,90.7,first,2018,active,dealer,60707.84,tier 1
maharashtra,47.07,royal enfield,interceptor 650,103593,2023,859,hybrid,81.54,second,2024,expired,dealer,50239.94,metro
maharashtra,39.25,hero,glamour,224434,2022,154,petrol,25.49,first,2022,active,individual,142699.25,tier 2
uttar pradesh,72.49,ktm,duke 200,115677,2023,826,electric,84.63,first,2023,not available,dealer,75715.02,tier 3
uttar pradesh,42.38,royal enfield,hunter 350,196390,2017,228,electric,99.1,first,2017,active,individual,95305.95,metro
uttar pradesh,58.81,bajaj,platina 110,397234,2020,898,petrol,53.48,third,2020,expired,dealer,172038.97,tier 2
delhi,74.42,hero,xtreme 160r,66295,2022,255,electric,90.63,first,2022,expired,dealer,43692.37,metro
punjab,47.4,bajaj,pulsar 150,149889,2018,424,electric,79.92,first,2018,expired,individual,69651.18,tier 2
gujarat,30.13,kawasaki,ninja 400,78134,2020,861,petrol,33.26,third,2020,expired,dealer,35784.69,tier 2
maharashtra,64.71,hero,xtreme 160r,244844,2020,866,electric,83.77,first,2020,expired,dealer,186585.39,metro
rajasthan,8.24,tvs,sport,183938,2017,734,electric,87.23,third,2017,active,individual,93274.62,tier 2
delhi,46.67,hero,xtreme 160r,121494,2017,489,hybrid,91.79,third,2017,not available,individual,96822.51,tier 1
west bengal,68.77,hero,glamour,108908,2017,322,electric,78.23,first,2017,active,individual,70860.74,tier 1
maharashtra,58.28,ktm,duke 200,325903,2023,674,hybrid,84.64,second,2023,not available,dealer,204598.43,tier 1
karnataka,33.05,kawasaki,ninja 300,273206,2015,601,electric,62.95,third,2024,not available,dealer,159172.97,tier 2
uttar pradesh,34.92,tvs,jupiter,58677,2023,569,hybrid,91.32,second,2023,not available,individual,44489.62,tier 2
uttar pradesh,20.96,royal enfield,hunter 350,112737,2023,549,petrol,27.66,second,2024,active,dealer,75113.33,tier 2
tamil nadu,25.35,ktm,390 adventure,77533,2018,356,hybrid,88.98,third,2021,expired,dealer,43852.09,tier 1
west bengal,40.04,royal enfield,himalayan,241452,2018,318,petrol,34.62,first,2018,active,dealer,176596.08,tier 2
delhi,48.36,ktm,rc 390,309340,2023,406,hybrid,64.51,second,2024,active,individual,181642.58,tier 2
west bengal,8.82,tvs,apache rtr 160,351243,2016,937,electric,99.9,third,2017,not available,dealer,153737.2,tier 1
rajasthan,6.99,kawasaki,z650,132390,2020,652,electric,61.94,first,2020,active,individual,64420.96,tier 2
madhya pradesh,52.56,bajaj,dominar 400,203088,2023,368,petrol,45.36,first,2023,expired,dealer,94038.52,tier 3
rajasthan,77.08,honda,unicorn,182704,2017,259,electric,73.06,second,2019,active,dealer,111483.86,tier 2
punjab,36.29,yamaha,mt-15,341128,2017,568,petrol,49.91,second,2019,active,individual,236369.46,tier 1
gujarat,12.02,bajaj,ct 100,257563,2015,783,hybrid,70.38,second,2015,active,dealer,201891.62,metro
uttar pradesh,58.72,ktm,250 duke,366026,2018,196,electric,75.01,first,2018,not available,individual,164026.55,tier 1
tamil nadu,18.45,honda,unicorn,318130,2023,958,petrol,31.74,first,2023,expired,dealer,137402.17,tier 1
west bengal,50.69,kawasaki,ninja 300,103859,2017,724,electric,70.59,second,2017,not available,dealer,80148.49,tier 1
uttar pradesh,78.15,honda,cbr 650r,395200,2015,594,electric,86.75,second,2023,expired,individual,240234.51,metro
gujarat,27.79,honda,cbr 650r,131485,2017,903,petrol,29.02,first,2017,expired,dealer,79296.19,tier 2
delhi,20.09,bajaj,avenger 220,373467,2024,454,hybrid,71.0,third,2024,active,dealer,162935.79,tier 3
uttar pradesh,12.69,hero,splendor plus,244864,2024,804,hybrid,98.33,third,2024,expired,dealer,150882.71,metro
punjab,48.2,bajaj,ct 100,353607,2016,551,hybrid,67.75,second,2022,active,individual,159318.03,tier 3
maharashtra,79.46,royal enfield,meteor 350,171111,2020,543,petrol,31.52,second,2023,active,dealer,109855.18,tier 3
gujarat,49.72,ktm,125 duke,304140,2018,743,hybrid,69.27,first,2018,active,dealer,193363.56,metro
uttar pradesh,26.0,honda,cbr 650r,258208,2017,584,hybrid,84.1,first,2017,expired,individual,108479.88,metro
delhi,52.44,ktm,rc 390,226179,2016,318,hybrid,80.05,third,2020,not available,individual,132304.64,tier 1
uttar pradesh,40.48,tvs,ronin,335893,2023,402,electric,61.85,second,2024,expired,dealer,163013.56,tier 1
maharashtra,78.58,yamaha,fz v3,72976,2020,164,petrol,38.85,first,2020,expired,individual,33291.05,tier 3
madhya pradesh,42.04,tvs,jupiter,223657,2017,895,electric,92.09,second,2024,not available,individual,135217.7,metro
rajasthan,70.65,tvs,ntorq 125,185402,2022,270,hybrid,92.47,third,2023,active,dealer,147529.71,metro
west bengal,49.93,ktm,125 duke,209687,2022,578,hybrid,79.41,first,2022,active,individual,122725.37,metro
madhya pradesh,12.41,honda,shine,194359,2022,206,electric,69.49,first,2022,expired,individual,150434.76,tier 2
karnataka,60.3,yamaha,fz v3,73014,2019,533,electric,94.63,first,2019,expired,individual,41106.76,metro
tamil nadu,32.19,yamaha,r15 v4,119191,2022,561,electric,96.65,first,2022,active,individual,68735.81,tier 1
west bengal,34.87,bajaj,dominar 400,245677,2023,629,hybrid,60.94,third,2023,expired,individual,150352.53,tier 1
delhi,64.13,hero,xtreme 160r,121151,2020,893,hybrid,75.85,first,2020,not available,individual,80034.23,metro
west bengal,53.3,royal enfield,interceptor 650,117118,2022,557,hybrid,84.38,first,2022,not available,individual,73090.89,tier 2
uttar pradesh,23.36,tvs,ntorq 125,358657,2017,594,petrol,41.88,first,2017,active,dealer,162854.46,tier 1
punjab,68.73,hero,glamour,202579,2022,802,petrol,58.03,third,2022,expired,individual,151397.27,tier 3
madhya pradesh,75.75,ktm,duke 200,271304,2018,201,hybrid,76.16,first,2018,not available,dealer,199322.41,tier 2
gujarat,20.58,royal enfield,meteor 350,110401,2019,378,hybrid,85.15,first,2019,active,individual,71083.28,tier 1
maharashtra,10.27,tvs,jupiter,324853,2022,353,hybrid,83.46,first,2022,active,individual,200716.28,tier 3
west bengal,55.8,hero,passion pro,63773,2022,338,petrol,39.89,third,2023,active,dealer,35024.42,tier 2
uttar pradesh,49.24,kawasaki,ninja 300,367195,2016,376,petrol,29.99,first,2016,active,individual,222656.32,metro
delhi,71.29,hero,passion pro,287539,2018,668,electric,90.67,first,2018,expired,dealer,146801.49,tier 3
maharashtra,77.34,ktm,rc 390,168065,2020,277,hybrid,97.76,third,2022,active,individual,133658.93,tier 3
karnataka,18.51,hero,glamour,172730,2024,885,hybrid,70.83,first,2024,expired,dealer,113706.96,tier 1
madhya pradesh,37.12,hero,xtreme 160r,296069,2015,480,hybrid,92.61,second,2018,active,dealer,235598.28,tier 1
gujarat,50.23,yamaha,r15 v4,393799,2022,125,hybrid,66.12,third,2022,active,individual,172941.45,tier 3
madhya pradesh,42.74,honda,dio,363996,2017,794,electric,64.71,second,2023,not available,individual,271272.55,metro
punjab,45.54,royal enfield,interceptor 650,56725,2018,999,electric,79.63,third,2018,expired,individual,28070.53,tier 3
uttar pradesh,45.13,royal enfield,hunter 350,294935,2018,219,electric,68.4,first,2018,expired,dealer,183819.6,tier 1
delhi,58.9,royal enfield,himalayan,172960,2017,121,petrol,48.79,second,2020,expired,individual,91605.47,tier 1
karnataka,37.26,royal enfield,classic 350,54480,2020,532,electric,98.38,first,2020,not available,dealer,40712.92,tier 3
karnataka,70.32,tvs,jupiter,390319,2018,634,petrol,56.19,first,2018,active,dealer,182713.02,metro
karnataka,42.87,royal enfield,interceptor 650,80987,2017,675,hybrid,96.69,third,2020,expired,individual,53697.22,tier 2
madhya pradesh,42.58,honda,cbr 650r,54922,2015,863,petrol,44.26,first,2015,expired,dealer,29635.38,metro
uttar pradesh,6.95,honda,dio,330430,2015,378,hybrid,67.3,first,2015,active,individual,231490.21,tier 1
west bengal,61.23,royal enfield,himalayan,337024,2019,684,electric,88.38,second,2024,expired,dealer,267389.33,tier 2
maharashtra,47.59,royal enfield,himalayan,69580,2023,570,petrol,48.17,first,2023,not available,individual,47526.7,metro
gujarat,75.36,ktm,duke 200,316668,2021,699,petrol,28.19,third,2023,expired,dealer,245614.66,tier 2
maharashtra,76.8,yamaha,ray zr,227165,2016,333,electric,71.89,first,2016,not available,dealer,150776.07,metro
karnataka,37.37,yamaha,ray zr,207242,2016,772,petrol,46.27,second,2023,not available,dealer,148540.83,tier 3
karnataka,15.35,tvs,sport,131865,2017,515,petrol,44.67,third,2022,not available,individual,67976.62,tier 3
uttar pradesh,71.26,hero,hf deluxe,140800,2017,511,petrol,51.39,second,2017,not available,dealer,107302.28,tier 2
punjab,39.34,yamaha,fascino 125,205733,2023,991,petrol,42.53,first,2023,expired,dealer,124371.2,tier 1
west bengal,50.24,yamaha,fz v3,194188,2020,484,hybrid,72.58,first,2020,not available,dealer,92814.28,tier 3
west bengal,10.58,yamaha,ray zr,379454,2023,166,hybrid,93.0,first,2023,expired,dealer,300884.59,metro
uttar pradesh,48.67,honda,shine,79791,2022,515,hybrid,77.18,first,2022,expired,dealer,57004.23,tier 3
maharashtra,36.34,bajaj,dominar 400,117254,2018,727,petrol,29.25,second,2019,not available,dealer,69503.22,tier 2
karnataka,48.58,tvs,ronin,119570,2020,980,petrol,27.43,second,2020,expired,dealer,82506.96,tier 2
karnataka,77.09,yamaha,fz v3,56271,2021,858,hybrid,71.56,first,2021,not available,dealer,41104.74,metro
rajasthan,45.76,yamaha,r15 v4,146420,2015,495,hybrid,75.55,first,2015,not available,dealer,64126.43,tier 3
rajasthan,5.67,ktm,rc 390,155368,2017,341,petrol,42.92,third,2020,not available,individual,112589.35,tier 1
tamil nadu,42.78,tvs,ntorq 125,258291,2021,550,electric,84.48,second,2023,expired,individual,141527.92,metro
punjab,27.43,kawasaki,ninja 400,240722,2024,614,electric,75.64,third,2024,active,individual,164364.58,tier 2
west bengal,27.56,tvs,apache rtr 160,188472,2016,836,hybrid,78.34,second,2024,not available,individual,141633.45,tier 2
delhi,68.0,kawasaki,ninja 400,64863,2024,909,hybrid,80.89,second,2024,not available,dealer,50611.96,tier 3
delhi,74.52,tvs,sport,390704,2022,841,hybrid,94.34,third,2022,not available,dealer,195656.28,tier 2
delhi,69.58,ktm,250 duke,226348,2019,664,petrol,26.25,first,2019,not available,dealer,153792.17,tier 1
punjab,56.48,hero,passion pro,288187,2017,823,electric,91.31,third,2022,active,dealer,196649.42,tier 1
madhya pradesh,72.9,tvs,ronin,383002,2015,435,petrol,34.17,third,2024,not available,dealer,198132.28,metro
rajasthan,52.78,hero,passion pro,113756,2024,519,petrol,55.79,third,2024,not available,individual,83582.84,tier 2
karnataka,67.8,ktm,duke 200,198422,2015,178,electric,92.29,third,2021,expired,dealer,99180.16,tier 1
punjab,22.96,ktm,rc 390,178356,2022,523,hybrid,79.53,first,2022,active,individual,83589.17,metro
delhi,69.4,yamaha,ray zr,229594,2024,800,electric,74.63,second,2024,active,dealer,177755.05,tier 3
punjab,21.19,ktm,250 duke,250135,2022,726,electric,75.92,third,2022,active,individual,107407.33,tier 1
uttar pradesh,75.06,bajaj,avenger 220,222942,2019,477,electric,60.76,first,2019,active,dealer,109859.47,tier 2
karnataka,32.8,honda,shine,327650,2020,599,hybrid,64.37,second,2020,active,individual,244462.02,tier 2
gujarat,33.67,tvs,ntorq 125,247002,2017,848,electric,97.43,first,2017,expired,dealer,183047.85,metro
west bengal,71.25,yamaha,ray zr,390906,2023,392,electric,99.76,first,2023,not available,individual,189314.91,tier 3
gujarat,20.25,ktm,250 duke,251953,2022,751,hybrid,91.75,first,2022,not available,individual,187262.21,tier 2
karnataka,34.73,ktm,390 adventure,103062,2019,995,electric,70.42,third,2021,active,individual,53397.92,tier 3
rajasthan,75.95,tvs,ntorq 125,178415,2024,413,petrol,47.96,second,2024,active,dealer,72804.55,metro
madhya pradesh,75.82,bajaj,avenger 220,374559,2022,277,electric,80.16,second,2024,expired,dealer,272289.98,tier 1
maharashtra,78.93,tvs,apache rtr 160,313333,2021,203,hybrid,99.31,second,2022,active,dealer,225930.09,tier 2
karnataka,16.27,tvs,apache rtr 160,371610,2018,523,electric,79.77,third,2024,expired,individual,285084.03,tier 2
delhi,69.42,royal enfield,meteor 350,138296,2022,499,electric,77.89,first,2022,expired,individual,58593.06,tier 3
karnataka,58.07,kawasaki,z650,340498,2020,420,hybrid,74.4,second,2020,active,individual,186398.64,tier 2
delhi,11.22,bajaj,ct 100,370074,2020,181,electric,88.12,second,2020,expired,dealer,211888.46,metro
madhya pradesh,6.53,honda,unicorn,234249,2018,485,electric,60.42,third,2020,active,individual,130437.03,metro
tamil nadu,13.37,kawasaki,ninja 300,248112,2021,970,petrol,37.42,third,2024,expired,individual,134000.33,tier 1
west bengal,29.15,hero,passion pro,61873,2021,549,petrol,31.97,second,2024,expired,dealer,33822.11,metro
punjab,48.48,honda,unicorn,116354,2022,486,petrol,38.37,second,2023,expired,dealer,91784.92,tier 1
rajasthan,51.33,ktm,duke 200,326062,2016,500,petrol,38.91,third,2016,active,individual,202209.81,tier 2
punjab,5.51,ktm,390 adventure,57824,2015,639,hybrid,98.1,third,2018,active,dealer,31835.92,tier 1
madhya pradesh,66.34,ktm,390 adventure,81486,2023,657,electric,94.61,third,2023,active,individual,58251.64,tier 2
punjab,17.11,bajaj,pulsar 150,118374,2018,306,electric,96.93,second,2023,expired,dealer,60418.6,tier 1
delhi,43.07,hero,glamour,287314,2018,189,electric,87.1,second,2022,not available,dealer,135508.21,tier 1
delhi,51.86,bajaj,pulsar 150,175753,2024,885,petrol,46.2,third,2024,active,individual,95118.85,tier 2
west bengal,13.46,hero,glamour,52711,2021,181,electric,68.14,second,2024,not available,individual,39250.45,metro
gujarat,48.28,tvs,sport,191329,2021,781,electric,60.97,first,2021,expired,individual,81230.21,tier 2
rajasthan,33.04,bajaj,platina 110,331055,2022,622,petrol,57.1,first,2022,active,dealer,252288.1,tier 1
madhya pradesh,21.89,hero,glamour,341353,2021,616,hybrid,60.61,second,2023,expired,dealer,271343.33,metro
madhya pradesh,35.05,tvs,sport,72646,2022,280,electric,98.22,second,2022,active,dealer,43261.61,tier 2
west bengal,23.03,ktm,rc 390,389799,2021,249,electric,91.09,third,2021,expired,individual,167429.96,tier 2
karnataka,43.78,honda,unicorn,275580,2019,234,hybrid,84.33,second,2024,active,dealer,188649.39,metro
uttar pradesh,54.39,yamaha,fascino 125,247230,2023,441,petrol,26.07,second,2024,expired,individual,104847.63,tier 2
delhi,67.87,honda,shine,190520,2017,794,petrol,33.7,third,2021,expired,individual,103159.24,tier 1
delhi,56.73,hero,hf deluxe,312299,2019,171,electric,99.45,third,2021,not available,dealer,143967.21,tier 3
uttar pradesh,12.23,hero,glamour,252997,2015,335,hybrid,97.81,first,2015,not available,dealer,178768.25,tier 1
punjab,57.16,honda,unicorn,171599,2023,560,electric,89.07,first,2023,expired,dealer,88765.6,tier 1
karnataka,53.71,tvs,sport,317220,2019,688,petrol,51.21,first,2019,not available,dealer,193893.12,metro
delhi,15.07,bajaj,platina 110,361061,2016,443,hybrid,66.18,second,2018,not available,dealer,230599.48,tier 2
delhi,30.88,yamaha,r15 v4,150889,2019,505,petrol,37.44,third,2023,expired,individual,102931.19,metro
gujarat,12.04,bajaj,platina 110,395772,2017,459,electric,77.84,first,2017,not available,dealer,274609.43,tier 2
gujarat,55.29,ktm,duke 200,366465,2017,292,hybrid,99.62,second,2023,not available,individual,175495.58,metro
uttar pradesh,48.38,honda,dio,331225,2019,711,petrol,27.08,first,2019,active,dealer,162585.39,metro
delhi,60.97,yamaha,mt-15,92702,2016,329,hybrid,70.57,second,2016,active,dealer,41124.12,tier 3
madhya pradesh,59.18,royal enfield,hunter 350,386618,2024,916,hybrid,71.47,first,2024,active,dealer,257615.75,tier 3
maharashtra,23.47,bajaj,dominar 400,172842,2017,263,hybrid,84.35,first,2017,not available,individual,103829.24,tier 1
punjab,11.36,kawasaki,versys 650,117411,2024,877,hybrid,76.1,first,2024,expired,dealer,77809.96,metro
delhi,13.35,yamaha,fz v3,110129,2016,583,hybrid,60.79,third,2017,expired,individual,45405.87,tier 3
